fecha,satelite,cloud_cover,scene_id,RGB,SWIR,THERMAL,descargado
2026-03-24,landsat-8,51.61,LC08_L2SP_232089_20260324_02_T1,ok,ok,ok,2026-04-04 22:46
2026-03-23,landsat-9,70.55,LC09_L2SP_233089_20260323_02_T2,ok,ok,ok,2026-04-04 22:46
2026-03-16,landsat-9,89.63,LC09_L2SP_232089_20260316_02_T1,ok,ok,ok,2026-04-04 22:46
2026-03-08,landsat-8,12.22,LC08_L2SP_232089_20260308_02_T1,ok,ok,ok,2026-04-04 22:46
2026-03-07,landsat-9,99.07,LC09_L2SP_233089_20260307_02_T1,ok,ok,ok,2026-04-04 22:46
2026-02-28,landsat-9,72.86,LC09_L2SP_232089_20260228_02_T1,ok,ok,ok,2026-04-04 22:46
2026-02-27,landsat-8,99.34,LC08_L2SP_233089_20260227_02_T2,ok,ok,ok,2026-04-04 22:47
2026-02-20,landsat-8,8.77,LC08_L2SP_232089_20260220_02_T1,ok,ok,ok,2026-04-04 22:47
2026-02-19,landsat-9,3.46,LC09_L2SP_233089_20260219_02_T1,ok,ok,ok,2026-04-04 22:47
2026-02-12,landsat-9,42.47,LC09_L2SP_232089_20260212_02_T1,ok,ok,ok,2026-04-04 22:47
2026-02-11,landsat-8,94.47,LC08_L2SP_233089_20260211_02_T1,ok,ok,ok,2026-04-04 22:47
2026-02-04,landsat-8,61.17,LC08_L2SP_232089_20260204_02_T1,ok,ok,ok,2026-04-04 22:47
2026-02-03,landsat-9,96.91,LC09_L2SP_233089_20260203_02_T2,ok,ok,ok,2026-04-04 22:47
2026-02-04,landsat-8,61.17,LC08_L2SP_232089_20260204_02_T1,ok,ok,ok,2026-04-05 05:44
